Toy Story (1995),0
Jumanji (1995),1
Grumpier Old Men (1995),2
Waiting to Exhale (1995),3
Father of the Bride Part II (1995),4
Heat (1995),5
Sabrina (1995),6
Tom and Huck (1995),7
Sudden Death (1995),8
GoldenEye (1995),9
"American President, The (1995)",10
Dracula: Dead and Loving It (1995),11
Balto (1995),12
Nixon (1995),13
Cutthroat Island (1995),14
Casino (1995),15
Sense and Sensibility (1995),16
Four Rooms (1995),17
Ace Ventura: When Nature Calls (1995),18
Money Train (1995),19
Get Shorty (1995),20
Copycat (1995),21
Assassins (1995),22
Powder (1995),23
Leaving Las Vegas (1995),24
Othello (1995),25
Now and Then (1995),26
Persuasion (1995),27
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",28
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),29
Dangerous Minds (1995),30
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),31
Wings of Courage (1995),32
Babe (1995),33
Carrington (1995),34
Dead Man Walking (1995),35
Across the Sea of Time (1995),36
It Takes Two (1995),37
Clueless (1995),38
"Cry, the Beloved Country (1995)",39
Richard III (1995),40
Dead Presidents (1995),41
Restoration (1995),42
Mortal Kombat (1995),43
To Die For (1995),44
How to Make an American Quilt (1995),45
Seven (a.k.a. Se7en) (1995),46
Pocahontas (1995),47
When Night Is Falling (1995),48
"Usual Suspects, The (1995)",49
Mighty Aphrodite (1995),50
Lamerica (1994),51
"Big Green, The (1995)",52
Georgia (1995),53
Kids of the Round Table (1995),54
Home for the Holidays (1995),55
"Postman, The (Postino, Il) (1994)",56
"Confessional, The (Confessionnal, Le) (1995)",57
"Indian in the Cupboard, The (1995)",58
Eye for an Eye (1996),59
Mr. Holland's Opus (1995),60
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),61
Two if by Sea (1996),62
Bio-Dome (1996),63
Lawnmower Man 2: Beyond Cyberspace (1996),64
Two Bits (1995),65
French Twist (Gazon maudit) (1995),66
Friday (1995),67
From Dusk Till Dawn (1996),68
Fair Game (1995),69
Kicking and Screaming (1995),70
"Misérables, Les (1995)",71
Bed of Roses (1996),72
Big Bully (1996),73
Screamers (1995),74
Nico Icon (1995),75
"Crossing Guard, The (1995)",76
"Juror, The (1996)",77
"White Balloon, The (Badkonake sefid) (1995)",78
Things to Do in Denver When You're Dead (1995),79
Antonia's Line (Antonia) (1995),80
Once Upon a Time... When We Were Colored (1995),81
Last Summer in the Hamptons (1995),82
Angels and Insects (1995),83
White Squall (1996),84
Dunston Checks In (1996),85
Black Sheep (1996),86
Nick of Time (1995),87
"Journey of August King, The (1995)",88
Mary Reilly (1996),89
Vampire in Brooklyn (1995),90
Beautiful Girls (1996),91
Broken Arrow (1996),92
In the Bleak Midwinter (1995),93
"Hate (Haine, La) (1995)",94
Shopping (1994),95
Heidi Fleiss: Hollywood Madam (1995),96
City Hall (1996),97
Bottle Rocket (1996),98
Mr. Wrong (1996),99
Unforgettable (1996),100
Happy Gilmore (1996),101
"Bridges of Madison County, The (1995)",102
Nobody Loves Me (Keiner liebt mich) (1994),103
Muppet Treasure Island (1996),104
Catwalk (1996),105
Braveheart (1995),106
Taxi Driver (1976),107
Rumble in the Bronx (Hont faan kui) (1995),108
Before and After (1996),109
Margaret's Museum (1995),110
Anne Frank Remembered (1995),111
"Young Poisoner's Handbook, The (1995)",112
If Lucy Fell (1996),113
"Steal Big, Steal Little (1995)",114
Race the Sun (1996),115
"Boys of St. Vincent, The (1992)",116
Boomerang (1992),117
Chungking Express (Chung Hing sam lam) (1994),118
Flirting With Disaster (1996),119
"NeverEnding Story III, The (1994)",120
Jupiter's Wife (1994),121
Pie in the Sky (1996),122
Frankie Starlight (1995),123
Jade (1995),124
Down Periscope (1996),125
From the Journals of Jean Seberg (1995),126
Man of the Year (1995),127
"Neon Bible, The (1995)",128
Up Close and Personal (1996),129
"Birdcage, The (1996)",130
"Brothers McMullen, The (1995)",131
Bad Boys (1995),132
"Amazing Panda Adventure, The (1995)",133
"Basketball Diaries, The (1995)",134
"Awfully Big Adventure, An (1995)",135
Amateur (1994),136
Apollo 13 (1995),137
Rob Roy (1995),138
"Addiction, The (1995)",139
Batman Forever (1995),140
Beauty of the Day (Belle de jour) (1967),141
Beyond Rangoon (1995),142
Blue in the Face (1995),143
Canadian Bacon (1995),144
Casper (1995),145
Clockers (1995),146
Congo (1995),147
Crimson Tide (1995),148
Crumb (1994),149
Desperado (1995),150
